ModuleName	ParameterName	TypeAnnotation	FinalXML	TracePath
saqc.funcs.changepoints	stat_func	Callable[[np.ndarray, np.ndarray], float]	"<param type=""text"" argument=""stat_func"" label=""A function that assigns a value to every twin window"" help=""Left window content will be passed to first variable, right window content will be passed to the second"" />"	Param: 'stat_func' -> Annotation: 'Callable[[np.ndarray, np.ndarray], float]' -> is_simple_type
saqc.funcs.changepoints	thresh_func	Callable[[np.ndarray, np.ndarray], float]	"<param type=""text"" argument=""thresh_func"" label=""thresh_func"" help=""A function that determines the value level, exceeding wich qualifies a timestamps func value as denoting a changepoint"" />"	Param: 'thresh_func' -> Annotation: 'Callable[[np.ndarray, np.ndarray], float]' -> is_simple_type
saqc.funcs.changepoints	window	OffsetStr | tuple[OffsetStr, OffsetStr]	"<conditional name=""window_cond"" label=""Size of the rolling windows the calculation is performed in"" />"	Param: 'window' -> Annotation: 'OffsetStr | tuple[OffsetStr, OffsetStr]' -> is_union_type -> conditional
saqc.funcs.changepoints	min_periods	(Int >= 0) | tuple[Int >= 0, Int >= 0]	"<conditional name=""min_periods_cond"" label=""min_periods"" />"	Param: 'min_periods' -> Annotation: '(Int >= 0) | tuple[Int >= 0, Int >= 0]' -> is_union_type -> conditional
saqc.funcs.changepoints	reduce_window	OffsetStr | None	"<param type=""text"" argument=""reduce_window"" label=""reduce_window"" help=""The sliding window search method is not an exact CP search method and usually there won't be detected a single changepoint, but a  region  of change around a changepoint. If `reduce_window` is given, for every window of size `reduce_window`, there will be selected the value with index `reduce_func(x, y)` and the others will be dropped. If `reduce_window` is None, the reduction window size equals the twin window size, the changepoints have been detected with"" optional=""true"" />"	Param: 'reduce_window' -> Annotation: 'OffsetStr | None' -> is_simple_type
saqc.funcs.changepoints	reduce_func	Callable[[np.ndarray, np.ndarray], float]	"<param type=""text"" argument=""reduce_func"" label=""reduce_func"" help=""default argmax A function that must return an index value upon input of two arrays x and y. First input parameter will hold the result from the stat_func evaluation for every reduction window. Second input parameter holds the result from the thresh_func evaluation. The default reduction function just selects the value that maximizes the stat_func"" optional=""true"" />"	Param: 'reduce_func' -> Annotation: 'Callable[[np.ndarray, np.ndarray], float]' -> is_simple_type
saqc.funcs.changepoints	model_by_resids	bool	"<param type=""boolean"" argument=""model_by_resids"" label=""If True, the results of `stat_funcs` are written, otherwise the regime labels"" help=""If True, the results of `stat_funcs` are written, otherwise the regime labels"" checked=""false"" truevalue=""model_by_resids"" falsevalue="""" />"	Param: 'model_by_resids' -> Annotation: 'bool' -> is_simple_type
saqc.funcs.changepoints	field	str	"<param type=""text"" argument=""field"" label=""Variable to process"" help=""Variable to process"" />"	Param: 'field' -> Annotation: 'str' -> is_simple_type
saqc.funcs.changepoints	stat_func	Callable[[np.ndarray, np.ndarray], float]	"<param type=""text"" argument=""stat_func"" label=""A function that assigns a value to every twin window"" help=""The backward-facing window content will be passed as the first array, the forward-facing window content as the second"" />"	Param: 'stat_func' -> Annotation: 'Callable[[np.ndarray, np.ndarray], float]' -> is_simple_type
saqc.funcs.changepoints	thresh_func	Callable[[np.ndarray, np.ndarray], float]	"<param type=""text"" argument=""thresh_func"" label=""thresh_func"" help=""A function that determines the value level, exceeding wich qualifies a timestamps func value as denoting a change-point"" />"	Param: 'thresh_func' -> Annotation: 'Callable[[np.ndarray, np.ndarray], float]' -> is_simple_type
saqc.funcs.changepoints	window	OffsetStr | tuple[OffsetStr, OffsetStr]	"<conditional name=""window_cond"" label=""Size of the moving windows"" />"	Param: 'window' -> Annotation: 'OffsetStr | tuple[OffsetStr, OffsetStr]' -> is_union_type -> conditional
saqc.funcs.changepoints	min_periods	(Int >= 0) | tuple[Int >= 0, Int >= 0]	"<conditional name=""min_periods_cond"" label=""min_periods"" />"	Param: 'min_periods' -> Annotation: '(Int >= 0) | tuple[Int >= 0, Int >= 0]' -> is_union_type -> conditional
saqc.funcs.changepoints	reduce_window	OffsetStr | None	"<param type=""text"" argument=""reduce_window"" label=""reduce_window"" help=""The sliding window search method is not an exact CP search method and usually there wont be detected a single changepoint, but a  region  of change around a changepoint.  If `reduce_window` is given, for every window of size `reduce_window`, there will be selected the value with index `reduce_func(x, y)` and the others will be dropped.  If `reduce_window` is None, the reduction window size equals the twin window size, the changepoints have been detected with"" optional=""true"" />"	Param: 'reduce_window' -> Annotation: 'OffsetStr | None' -> is_simple_type
saqc.funcs.changepoints	reduce_func	Callable[[np.ndarray, np.ndarray], int]	"<param type=""text"" argument=""reduce_func"" label=""reduce_func"" help=""default argmax A function that must return an index value upon input of two arrays x and y. First input parameter will hold the result from the stat_func evaluation for every reduction window. Second input parameter holds the result from the `thresh_func` evaluation. The default reduction function just selects the value that maximizes the `stat_func`"" optional=""true"" />"	Param: 'reduce_func' -> Annotation: 'Callable[[np.ndarray, np.ndarray], int]' -> is_simple_type
saqc.funcs.changepoints	flag	float	"<param type=""float"" argument=""flag"" label=""flag"" help="":py:class:`Any`, optional The flag value the function uses to mark observations. Defaults to the ``BAD`` value of the translation scheme"" optional=""true"" value=""255.0"" />"	Param: 'flag' -> Annotation: 'float' -> is_simple_type
saqc.funcs.constants	field	str	"<param type=""text"" argument=""field"" label=""Variable to process"" help=""Variable to process"" />"	Param: 'field' -> Annotation: 'str' -> is_simple_type
saqc.funcs.constants	window	OffsetStr	"<param type=""text"" argument=""window"" label=""Size of the moving window"" help=""This is the number of observations used for calculating the statistic. Each window will be a fixed size. If its an offset then this will be the time period of each window. Each window will be sized, based on the number of observations included in the time-period"" />"	Param: 'window' -> Annotation: 'OffsetStr' -> is_simple_type
saqc.funcs.constants	thresh	Float >= 0	"<param type=""float"" argument=""thresh"" label=""Maximum total variance allowed per window"" help=""Maximum total variance allowed per window"" min=""0"" />"	Param: 'thresh' -> Annotation: 'Float >= 0' -> is_simple_type
saqc.funcs.constants	maxna	(Int >= 0) | None	"<param type=""integer"" argument=""maxna"" label=""Maximum number of NaNs allowed in window"" help=""If more NaNs are present, the window is not flagged"" optional=""true"" min=""0"" />"	Param: 'maxna' -> Annotation: '(Int >= 0) | None' -> is_simple_type
saqc.funcs.constants	maxna_group	(Int >= 0) | None	"<param type=""integer"" argument=""maxna_group"" label=""Same as `maxna` but for consecutive NaNs"" help=""Same as `maxna` but for consecutive NaNs"" optional=""true"" min=""0"" />"	Param: 'maxna_group' -> Annotation: '(Int >= 0) | None' -> is_simple_type
saqc.funcs.constants	flag	float	"<param type=""float"" argument=""flag"" label=""flag"" help="":py:class:`Any`, optional The flag value the function uses to mark observations. Defaults to the ``BAD`` value of the translation scheme"" optional=""true"" value=""255.0"" />"	Param: 'flag' -> Annotation: 'float' -> is_simple_type
saqc.funcs.constants	field	str	"<param type=""text"" argument=""field"" label=""Variable to process"" help=""Variable to process"" />"	Param: 'field' -> Annotation: 'str' -> is_simple_type
saqc.funcs.constants	thresh	Float >= 0	"<param type=""float"" argument=""thresh"" label=""Maximum total change allowed per window"" help=""Maximum total change allowed per window"" min=""0"" />"	Param: 'thresh' -> Annotation: 'Float >= 0' -> is_simple_type
saqc.funcs.constants	window	OffsetStr | (Int >= 1)	"<conditional name=""window_cond"" label=""Size of the moving window"" />"	Param: 'window' -> Annotation: 'OffsetStr | (Int >= 1)' -> is_union_type -> conditional
saqc.funcs.constants	min_periods	Int >= 0	"<param type=""integer"" argument=""min_periods"" label=""Minimum number of observations in window required to generate a flag"" help=""This can be used to exclude underpopulated *offset* defined windows from flagging. (Integer defined windows will always contain exactly *window* samples). Must be an integer greater or equal `2`, because a single value would always be considered constant. Defaults to `2`"" optional=""true"" value=""2"" min=""0"" />"	Param: 'min_periods' -> Annotation: 'Int >= 0' -> is_simple_type
saqc.funcs.constants	flag	float	"<param type=""float"" argument=""flag"" label=""flag"" help="":py:class:`Any`, optional The flag value the function uses to mark observations. Defaults to the ``BAD`` value of the translation scheme"" optional=""true"" value=""255.0"" />"	Param: 'flag' -> Annotation: 'float' -> is_simple_type
saqc.funcs.curvefit	field	str	"<param type=""text"" argument=""field"" label=""Variable to process"" help=""Variable to process"" />"	Param: 'field' -> Annotation: 'str' -> is_simple_type
saqc.funcs.curvefit	cutoff	(Float >= 0) | FreqStr	"<conditional name=""cutoff_cond"" label=""cutoff"" />"	Param: 'cutoff' -> Annotation: '(Float >= 0) | FreqStr' -> is_union_type -> conditional
saqc.funcs.curvefit	nyq	Float >= 0	"<param type=""float"" argument=""nyq"" label=""The niquist-frequency"" help=""expressed in multiples if the sampling rate"" optional=""true"" value=""0.5"" min=""0"" />"	Param: 'nyq' -> Annotation: 'Float >= 0' -> is_simple_type
saqc.funcs.curvefit	filter_order	Int >= 1	"<param type=""integer"" argument=""filter_order"" label=""filter_order"" help="""" optional=""true"" value=""2"" min=""1"" />"	Param: 'filter_order' -> Annotation: 'Int >= 1' -> is_simple_type
saqc.funcs.curvefit	fill_method	FILL_METHODS	"<param type=""select"" argument=""fill_method"" label=""fill_method"" help=""Fill method to be applied on the data before filtering (butterfilter cant handle ''np.nan''). See documentation of pandas.Series.interpolate method for details on the methods associated with the different keywords"" optional=""true"" value=""linear"" />"	Param: 'fill_method' -> Annotation: 'FILL_METHODS' -> is_simple_type
saqc.funcs.curvefit	field	str | list[str]	"<conditional name=""field_cond"" label=""Variable to process"" />"	Param: 'field' -> Annotation: 'str | list[str]' -> is_union_type -> conditional
saqc.funcs.curvefit	ratio	int	"<param type=""integer"" argument=""ratio"" label=""The number of samples generated for any values reconstruction"" help=""Must be a divisor of `context`. Effectively controlls the stride-width of the reconstruction window through the data"" optional=""true"" value=""4"" />"	Param: 'ratio' -> Annotation: 'int' -> is_simple_type
saqc.funcs.curvefit	context	int	"<param type=""integer"" argument=""context"" label=""context"" help=""size of the context window with regard to wich any value is reconstructed"" optional=""true"" value=""512"" />"	Param: 'context' -> Annotation: 'int' -> is_simple_type
saqc.funcs.curvefit	agg	Literal['center', 'mean', 'median', 'std']	"<param type=""select"" argument=""agg"" label=""How to aggregate the different reconstructions for the same value"" help=""* 'center': use the value that was constructed in a window centering around the origin value * 'mean': assign the mean over all reconstructed values * 'median': assign the median over all reconstructed values * 'std': assign the standard deviation over all reconstructed values"" optional=""true"" value=""mean"" />"	Param: 'agg' -> Annotation: 'Literal['center', 'mean', 'median', 'std']' -> is_simple_type
saqc.funcs.curvefit	model_spec	dict | None	"<repeat name=""model_spec"" help=""Dictionary with the fields: * `pretrained_model_name_or_path` * `revision`  Defaults to global Parameter `DEFAULT_MOMENT=dict(pretrained_model_name_or_path= AutonLab/MOMENT-1-large , revision= main `"" title=""model_spec"" />"	Param: 'model_spec' -> Annotation: 'dict | None' -> is_simple_type
saqc.funcs.curvefit	field	str	"<param type=""text"" argument=""field"" label=""Variable to process"" help=""Variable to process"" />"	Param: 'field' -> Annotation: 'str' -> is_simple_type
saqc.funcs.curvefit	window	OffsetStr | (Int >= 0)	"<conditional name=""window_cond"" label=""Size of the window you want to use for fitting"" />"	Param: 'window' -> Annotation: 'OffsetStr | (Int >= 0)' -> is_union_type -> conditional
saqc.funcs.curvefit	order	Int >= 1	"<param type=""integer"" argument=""order"" label=""Degree of the polynomial used for fitting"" help=""Degree of the polynomial used for fitting"" min=""1"" />"	Param: 'order' -> Annotation: 'Int >= 1' -> is_simple_type
saqc.funcs.curvefit	min_periods	Int >= 0	"<param type=""integer"" argument=""min_periods"" label=""min_periods"" help=""Minimum number of observations in a window required to perform the fit, otherwise NaNs will be assigned. If ``None``, `min_periods` defaults to 1 for integer windows and to the size of the window for offset based windows. Passing 0, disables the feature and will result in over-fitting for too sparse windows"" optional=""true"" value=""0"" min=""0"" />"	Param: 'min_periods' -> Annotation: 'Int >= 0' -> is_simple_type
saqc.funcs.drift	field	str	"<param type=""text"" argument=""field"" label=""Variable to process"" help=""Variable to process"" />"	Param: 'field' -> Annotation: 'str' -> is_simple_type
saqc.funcs.drift	cluster_field	str	"<param type=""text"" argument=""cluster_field"" label=""Column in data, holding the cluster labels for the samples in field"" help=""(has to be indexed equal to field)"" />"	Param: 'cluster_field' -> Annotation: 'str' -> is_simple_type
saqc.funcs.drift	spread	Float >= 0	"<param type=""float"" argument=""spread"" label=""A threshold denoting the value level, up to wich clusters a agglomerated"" help=""A threshold denoting the value level, up to wich clusters a agglomerated"" min=""0"" />"	Param: 'spread' -> Annotation: 'Float >= 0' -> is_simple_type
saqc.funcs.drift	method	LINKAGE_STRING	"<param type=""select"" argument=""method"" label=""The linkage method for hierarchical (agglomerative) clustering of the variables"" help=""The linkage method for hierarchical (agglomerative) clustering of the variables"" optional=""true"" value=""single"" />"	Param: 'method' -> Annotation: 'LINKAGE_STRING' -> is_simple_type
saqc.funcs.drift	metric	Callable[[np.ndarray, np.ndarray], float]	"<param type=""text"" argument=""metric"" label=""A metric function for calculating the dissimilarity between 2 regimes"" help=""Defaults to the absolute difference in mean"" optional=""true"" />"	Param: 'metric' -> Annotation: 'Callable[[np.ndarray, np.ndarray], float]' -> is_simple_type
saqc.funcs.drift	frac	Float[0, 1]	"<param type=""float"" argument=""frac"" label=""frac"" help=""The minimum percentage of samples, the  normal  group has to comprise to actually be the normal group. Must be in the closed interval `[0,1]`, otherwise a ValueError is raised"" optional=""true"" value=""0.5"" min=""0"" max=""1"" />"	Param: 'frac' -> Annotation: 'Float[0, 1]' -> is_simple_type
saqc.funcs.drift	field	str	"<param type=""text"" argument=""field"" label=""Variable to process"" help=""Variable to process"" />"	Param: 'field' -> Annotation: 'str' -> is_simple_type
saqc.funcs.drift	maintenance_field	str	"<param type=""text"" argument=""maintenance_field"" label=""Column holding the support-points information"" help=""The data is expected to have the following form: The index of the series represents the beginning of a maintenance event, wheras the values represent its endings"" />"	Param: 'maintenance_field' -> Annotation: 'str' -> is_simple_type
saqc.funcs.drift	model	CurveFitter | Literal['linear', 'exponential']	"<conditional name=""model_cond"" label=""A model function describing the drift behavior, that is to be corrected"" />"	Param: 'model' -> Annotation: 'CurveFitter | Literal['linear', 'exponential']' -> is_union_type -> conditional
saqc.funcs.drift	cal_range	Int >= 0	"<param type=""integer"" argument=""cal_range"" label=""cal_range"" help=""Number of values to calculate the mean of, for obtaining the value level directly after and directly before a maintenance event. Needed for shift calibration"" optional=""true"" value=""5"" min=""0"" />"	Param: 'cal_range' -> Annotation: 'Int >= 0' -> is_simple_type
saqc.funcs.drift	field	str	"<param type=""text"" argument=""field"" label=""Variable to process"" help=""Variable to process"" />"	Param: 'field' -> Annotation: 'str' -> is_simple_type
saqc.funcs.drift	max_jump	Float >= 0	"<param type=""float"" argument=""max_jump"" label=""max_jump"" help=""when searching for changepoints in mean - this is the threshold a mean difference in the sliding window search must exceed to trigger changepoint detection"" min=""0"" />"	Param: 'max_jump' -> Annotation: 'Float >= 0' -> is_simple_type
saqc.funcs.drift	spread	Float >= 0	"<param type=""float"" argument=""spread"" label=""spread"" help=""threshold denoting the maximum, regimes are allowed to abolutely differ in their means to form the  normal group  of values"" min=""0"" />"	Param: 'spread' -> Annotation: 'Float >= 0' -> is_simple_type
saqc.funcs.drift	window	OffsetStr	"<param type=""text"" argument=""window"" label=""Size of the adjacent windows that are used to search for the mean changepoints"" help=""Size of the adjacent windows that are used to search for the mean changepoints"" />"	Param: 'window' -> Annotation: 'OffsetStr' -> is_simple_type
saqc.funcs.drift	min_periods	Int >= 0	"<param type=""integer"" argument=""min_periods"" label=""min_periods"" help=""Minimum number of periods a search window has to contain, for the result of the changepoint detection to be considered valid"" min=""0"" />"	Param: 'min_periods' -> Annotation: 'Int >= 0' -> is_simple_type
saqc.funcs.drift	tolerance	OffsetStr | None	"<param type=""text"" argument=""tolerance"" label=""tolerance"" help=""If an offset string is passed, a data chunk of length `offset` right from the start and right before the end of any regime is ignored when calculating a regimes mean for data correcture. This is to account for the unrelyability of data near the changepoints of regimes"" optional=""true"" />"	Param: 'tolerance' -> Annotation: 'OffsetStr | None' -> is_simple_type
saqc.funcs.drift	field	str	"<param type=""text"" argument=""field"" label=""Variable to process"" help=""Variable to process"" />"	Param: 'field' -> Annotation: 'str' -> is_simple_type
saqc.funcs.drift	cluster_field	str	"<param type=""text"" argument=""cluster_field"" label=""cluster_field"" help=""A string denoting the field in data, holding the cluster label for the data you want to correct"" />"	Param: 'cluster_field' -> Annotation: 'str' -> is_simple_type
saqc.funcs.drift	model	CurveFitter	"<param type=""text"" argument=""model"" label=""The model function to be fitted to the regimes"" help=""It must be a function of the form :math:`f(x, *p)`, where :math:`x` is the ``numpy.array`` holding the independent variables and :math:`p` are the model parameters that are to be obtained by fitting. Depending on the `x_date` parameter, independent variable x will either be the timestamps of every regime transformed to seconds from epoch, or it will be just seconds, counting the regimes length"" />"	Param: 'model' -> Annotation: 'CurveFitter' -> is_simple_type
saqc.funcs.drift	tolerance	OffsetStr | None	"<param type=""text"" argument=""tolerance"" label=""tolerance"" help=""If an offset string is passed, a data chunk of length `offset` right at the start and right at the end is ignored when fitting the model. This is to account for the unreliability of data near the changepoints of regimes. Defaults to None"" optional=""true"" />"	Param: 'tolerance' -> Annotation: 'OffsetStr | None' -> is_simple_type
saqc.funcs.drift	epoch	bool	"<param type=""boolean"" argument=""epoch"" label=""epoch"" help=""If True, use  seconds from epoch  as x input to the model func, instead of  seconds from regime start "" checked=""false"" truevalue=""epoch"" falsevalue="""" />"	Param: 'epoch' -> Annotation: 'bool' -> is_simple_type
saqc.funcs.drift	field	Sequence[str]	"<param type=""text"" argument=""field"" label=""Variable to process"" help=""Variable to process"" multiple=""true"" />"	Param: 'field' -> Annotation: 'Sequence[str]' -> is_simple_type
saqc.funcs.drift	window	OffsetStr	"<param type=""text"" argument=""window"" label=""Frequency, that split the data in chunks"" help=""Frequency, that split the data in chunks"" />"	Param: 'window' -> Annotation: 'OffsetStr' -> is_simple_type
saqc.funcs.drift	spread	Float >= 0	"<param type=""float"" argument=""spread"" label=""Maximum spread allowed in the group of *normal* data"" help=""See Notes section for more details"" min=""0"" />"	Param: 'spread' -> Annotation: 'Float >= 0' -> is_simple_type
saqc.funcs.drift	frac	Float[0, 1]	"<param type=""float"" argument=""frac"" label=""Fraction defining the normal group"" help=""Use a value from the interval [0,1]. The higher the value, the more stable the algorithm will be. For values below 0.5 the results are undefined"" optional=""true"" value=""0.5"" min=""0"" max=""1"" />"	Param: 'frac' -> Annotation: 'Float[0, 1]' -> is_simple_type
saqc.funcs.drift	metric	Callable[[np.ndarray | pd.Series, np.ndarray | pd.Series], np.ndarray]	"<param type=""text"" argument=""metric"" label=""metric"" help=""default cityblock Distance function that takes two arrays as input and returns a scalar float. This value is interpreted as the distance of the two input arrays. Defaults to the `averaged manhattan metric` (see Notes)"" optional=""true"" />"	Param: 'metric' -> Annotation: 'Callable[[np.ndarray | pd.Series, np.ndarray | pd.Series], np.ndarray]' -> is_simple_type
saqc.funcs.drift	method	LINKAGE_STRING	"<param type=""select"" argument=""method"" label=""Linkage method used for hierarchical (agglomerative) clustering of the data"" help=""`method` is directly passed to ``scipy.hierarchy.linkage``. See its documentation [1] for more details. For a general introduction on hierarchical clustering see [2]"" optional=""true"" value=""single"" />"	Param: 'method' -> Annotation: 'LINKAGE_STRING' -> is_simple_type
saqc.funcs.drift	flag	float	"<param type=""float"" argument=""flag"" label=""flag"" help="":py:class:`Any`, optional The flag value the function uses to mark observations. Defaults to the ``BAD`` value of the translation scheme"" optional=""true"" value=""255.0"" />"	Param: 'flag' -> Annotation: 'float' -> is_simple_type
saqc.funcs.drift	field	Sequence[str]	"<param type=""text"" argument=""field"" label=""Variable to process"" help=""Variable to process"" multiple=""true"" />"	Param: 'field' -> Annotation: 'Sequence[str]' -> is_simple_type
saqc.funcs.drift	reference	str	"<param type=""text"" argument=""reference"" label=""Reference variable, the deviation is calculated from"" help=""Reference variable, the deviation is calculated from"" />"	Param: 'reference' -> Annotation: 'str' -> is_simple_type
saqc.funcs.drift	freq	FreqStr	"<param type=""text"" argument=""freq"" label=""Frequency, that split the data in chunks"" help=""Frequency, that split the data in chunks"" />"	Param: 'freq' -> Annotation: 'FreqStr' -> is_simple_type
saqc.funcs.drift	thresh	Float >= 0	"<param type=""float"" argument=""thresh"" label=""Maximum deviation from reference"" help=""Maximum deviation from reference"" min=""0"" />"	Param: 'thresh' -> Annotation: 'Float >= 0' -> is_simple_type
saqc.funcs.drift	metric	Callable[[np.ndarray | pd.Series, np.ndarray | pd.Series], np.ndarray]	"<param type=""text"" argument=""metric"" label=""metric"" help=""default cityblock Distance function. Takes two arrays as input and returns a scalar float. This value is interpreted as the mutual distance of the two input arrays. Defaults to the `averaged manhattan metric` (see Notes)"" optional=""true"" />"	Param: 'metric' -> Annotation: 'Callable[[np.ndarray | pd.Series, np.ndarray | pd.Series], np.ndarray]' -> is_simple_type
saqc.funcs.drift	flag	float	"<param type=""float"" argument=""flag"" label=""flag"" help="":py:class:`Any`, optional The flag value the function uses to mark observations. Defaults to the ``BAD`` value of the translation scheme"" optional=""true"" value=""255.0"" />"	Param: 'flag' -> Annotation: 'float' -> is_simple_type
saqc.funcs.drift	field	str	"<param type=""text"" argument=""field"" label=""Variable to process"" help=""Variable to process"" />"	Param: 'field' -> Annotation: 'str' -> is_simple_type
saqc.funcs.drift	cluster_field	str	"<param type=""text"" argument=""cluster_field"" label=""Column in data, holding the cluster labels for the samples in field"" help=""(has to be indexed equal to field)"" />"	Param: 'cluster_field' -> Annotation: 'str' -> is_simple_type
saqc.funcs.drift	spread	Float >= 0	"<param type=""float"" argument=""spread"" label=""A threshold denoting the value level, up to wich clusters a agglomerated"" help=""A threshold denoting the value level, up to wich clusters a agglomerated"" min=""0"" />"	Param: 'spread' -> Annotation: 'Float >= 0' -> is_simple_type
saqc.funcs.drift	method	LINKAGE_STRING	"<param type=""select"" argument=""method"" label=""The linkage method for hierarchical (agglomerative) clustering of the variables"" help=""The linkage method for hierarchical (agglomerative) clustering of the variables"" optional=""true"" value=""single"" />"	Param: 'method' -> Annotation: 'LINKAGE_STRING' -> is_simple_type
saqc.funcs.drift	metric	Callable[[np.ndarray | pd.Series, np.ndarray | pd.Series], float]	"<param type=""text"" argument=""metric"" label=""A metric function for calculating the dissimilarity between 2 regimes"" help=""Defaults to the absolute difference in mean"" optional=""true"" />"	Param: 'metric' -> Annotation: 'Callable[[np.ndarray | pd.Series, np.ndarray | pd.Series], float]' -> is_simple_type
saqc.funcs.drift	frac	Float[0, 1]	"<param type=""float"" argument=""frac"" label=""frac"" help=""The minimum percentage of samples, the  normal  group has to comprise to actually be the normal group. Must be in the closed interval `[0,1]`, otherwise a ValueError is raised"" optional=""true"" value=""0.5"" min=""0"" max=""1"" />"	Param: 'frac' -> Annotation: 'Float[0, 1]' -> is_simple_type
saqc.funcs.drift	flag	float	"<param type=""float"" argument=""flag"" label=""flag"" help="":py:class:`Any`, optional The flag value the function uses to mark observations. Defaults to the ``BAD`` value of the translation scheme"" optional=""true"" value=""255.0"" />"	Param: 'flag' -> Annotation: 'float' -> is_simple_type
saqc.funcs.flagtools	field	SaQCFields	"<param type=""text"" argument=""field"" label=""Variable to process"" help=""Variable to process"" multiple=""true"" />"	Param: 'field' -> Annotation: 'SaQCFields' -> is_simple_type
saqc.funcs.flagtools	target	SaQCFields | None	"<param type=""text"" argument=""target"" label=""target"" help="":py:class:`SaQCFields` | :py:class:`newSaQCFields` , optional Variable name to which the results are written. `target` will be created if it does not exist. Defaults to `field`"" optional=""true"" multiple=""true"" />"	Param: 'target' -> Annotation: 'SaQCFields | None' -> is_simple_type
saqc.funcs.flagtools	flag	float	"<param type=""float"" argument=""flag"" label=""flag"" help="":py:class:`Any`, optional The flag value the function uses to mark observations. Defaults to the ``BAD`` value of the translation scheme"" optional=""true"" value=""255.0"" />"	Param: 'flag' -> Annotation: 'float' -> is_simple_type
saqc.funcs.flagtools	field	SaQCFields	"<param type=""text"" argument=""field"" label=""Variable to process"" help=""Variable to process"" multiple=""true"" />"	Param: 'field' -> Annotation: 'SaQCFields' -> is_simple_type
