ModuleName	ParameterName	TypeAnnotation	FinalXML	TracePath
saqc.funcs.breaks	field	str	"<param type=""text"" argument=""field"" label=""Field"" help=""The name of the variable to process."" value="""" />"	Param: 'field' -> Annotation: 'str' -> is_field_or_target -> is_single_str
saqc.funcs.breaks	flag	float	"<param type=""float"" argument=""flag"" label=""Any, optional The flag value the function uses to mark observations"" help=""Defaults to the ``BAD`` value of the translation scheme"" optional=""true"" value=""255.0"" />"	Param: 'flag' -> Annotation: 'float' -> is_simple_type -> type_is_float
saqc.funcs.breaks	dfilter	float	"<param type=""float"" argument=""dfilter"" label=""dfilter"" help=""Any, optional Defines which observations will be masked based on the already existing flags. Any data point with a flag equal or worse to this threshold will be passed as ``NaN`` to the function. Defaults to the ``DFILTER_ALL`` value of the translation scheme"" optional=""true"" value=""-inf"" />"	Param: 'dfilter' -> Annotation: 'float' -> is_simple_type -> type_is_float
saqc.funcs.changepoints	field	str	"<param type=""text"" argument=""field"" label=""Field"" help=""The name of the variable to process."" value="""" />"	Param: 'field' -> Annotation: 'str' -> is_field_or_target -> is_single_str
saqc.funcs.changepoints	stat_func	Callable[[np.ndarray, np.ndarray], float]	"<param type=""text"" argument=""stat_func"" label=""A function that assigns a value to every twin window"" help=""Left window content will be passed to first variable, right window content will be passed to the second"" value="""" />"	Param: 'stat_func' -> Annotation: 'Callable[[np.ndarray, np.ndarray], float]' -> final_catch_all_fallback_text
saqc.funcs.changepoints	thresh_func	Callable[[np.ndarray, np.ndarray], float]	"<param type=""text"" argument=""thresh_func"" label=""thresh_func"" help=""A function that determines the value level, exceeding wich qualifies a timestamps func value as denoting a changepoint"" value="""" />"	Param: 'thresh_func' -> Annotation: 'Callable[[np.ndarray, np.ndarray], float]' -> final_catch_all_fallback_text
saqc.funcs.changepoints	window	str | Tuple[str, str]	"<param type=""text"" argument=""window"" label=""Size of the rolling windows the calculation is performed in"" help=""If it is a single frequency offset, it applies for the backward- and the forward-facing window.  If two offsets (as a tuple) is passed the first defines the size of the backward facing window, the second the size of the forward facing window (String or two comma-separated strings, e.g., val1,val2)"" value="""" />"	Param: 'window' -> Annotation: 'str | Tuple[str, str]' -> is_union_str_tuplestr
saqc.funcs.changepoints	min_periods	int | Tuple[int, int]	"<param type=""text"" argument=""min_periods"" label=""min_periods"" help=""Minimum number of observations in a window required to perform the changepoint test. If it is a tuple of two int, the first refer to the backward-, the second to the forward-facing window (Integer or two comma-separated integers, e.g., 1,2)"" value="""" />"	Param: 'min_periods' -> Annotation: 'int | Tuple[int, int]' -> is_union_int_tupleint
saqc.funcs.changepoints	reduce_window	str | None	"<param type=""text"" argument=""reduce_window"" label=""reduce_window"" help=""The sliding window search method is not an exact CP search method and usually there won't be detected a single changepoint, but a  region  of change around a changepoint. If `reduce_window` is given, for every window of size `reduce_window`, there will be selected the value with index `reduce_func(x, y)` and the others will be dropped. If `reduce_window` is None, the reduction window size equals the twin window size, the changepoints have been detected with"" optional=""true"" />"	Param: 'reduce_window' -> Annotation: 'str | None' -> is_union_with_none -> is_simple_type -> type_is_str
saqc.funcs.changepoints	reduce_func	Callable[[np.ndarray, np.ndarray], float]	"<param type=""text"" argument=""reduce_func"" label=""reduce_func"" help=""default argmax A function that must return an index value upon input of two arrays x and y. First input parameter will hold the result from the stat_func evaluation for every reduction window. Second input parameter holds the result from the thresh_func evaluation. The default reduction function just selects the value that maximizes the stat_func"" optional=""true"" value=""&lt;function ChangepointsMixin.&lt;lambda&gt; at 0x788ecbe4ce00&gt;"" />"	Param: 'reduce_func' -> Annotation: 'Callable[[np.ndarray, np.ndarray], float]' -> final_catch_all_fallback_text
saqc.funcs.changepoints	model_by_resids	bool	"<param type=""boolean"" argument=""model_by_resids"" label=""If True, the results of `stat_funcs` are written, otherwise the regime labels"" help=""If True, the results of `stat_funcs` are written, otherwise the regime labels"" checked=""false"" truevalue=""model_by_resids"" falsevalue="""" />"	Param: 'model_by_resids' -> Annotation: 'bool' -> is_simple_type -> type_is_bool
saqc.funcs.changepoints	field	str	"<param type=""text"" argument=""field"" label=""Field"" help=""The name of the variable to process."" value="""" />"	Param: 'field' -> Annotation: 'str' -> is_field_or_target -> is_single_str
saqc.funcs.changepoints	stat_func	Callable[[np.ndarray, np.ndarray], float]	"<param type=""text"" argument=""stat_func"" label=""A function that assigns a value to every twin window"" help=""The backward-facing window content will be passed as the first array, the forward-facing window content as the second"" value="""" />"	Param: 'stat_func' -> Annotation: 'Callable[[np.ndarray, np.ndarray], float]' -> final_catch_all_fallback_text
saqc.funcs.changepoints	thresh_func	Callable[[np.ndarray, np.ndarray], float]	"<param type=""text"" argument=""thresh_func"" label=""thresh_func"" help=""A function that determines the value level, exceeding wich qualifies a timestamps func value as denoting a change-point"" value="""" />"	Param: 'thresh_func' -> Annotation: 'Callable[[np.ndarray, np.ndarray], float]' -> final_catch_all_fallback_text
saqc.funcs.changepoints	window	str | Tuple[str, str]	"<param type=""text"" argument=""window"" label=""Size of the moving windows"" help=""This is the number of observations used for calculating the statistic.  If it is a single frequency offset, it applies for the backward- and the forward-facing window.  If two offsets (as a tuple) is passed the first defines the size of the backward facing window, the second the size of the forward facing window (String or two comma-separated strings, e.g., val1,val2)"" value="""" />"	Param: 'window' -> Annotation: 'str | Tuple[str, str]' -> is_union_str_tuplestr
saqc.funcs.changepoints	min_periods	int | Tuple[int, int]	"<param type=""text"" argument=""min_periods"" label=""min_periods"" help=""Minimum number of observations in a window required to perform the changepoint test. If it is a tuple of two int, the first refer to the backward-, the second to the forward-facing window (Integer or two comma-separated integers, e.g., 1,2)"" value="""" />"	Param: 'min_periods' -> Annotation: 'int | Tuple[int, int]' -> is_union_int_tupleint
saqc.funcs.changepoints	reduce_window	str | None	"<param type=""text"" argument=""reduce_window"" label=""reduce_window"" help=""The sliding window search method is not an exact CP search method and usually there wont be detected a single changepoint, but a  region  of change around a changepoint.  If `reduce_window` is given, for every window of size `reduce_window`, there will be selected the value with index `reduce_func(x, y)` and the others will be dropped.  If `reduce_window` is None, the reduction window size equals the twin window size, the changepoints have been detected with"" optional=""true"" />"	Param: 'reduce_window' -> Annotation: 'str | None' -> is_union_with_none -> is_simple_type -> type_is_str
saqc.funcs.changepoints	reduce_func	Callable[[np.ndarray, np.ndarray], int]	"<param type=""text"" argument=""reduce_func"" label=""reduce_func"" help=""default argmax A function that must return an index value upon input of two arrays x and y. First input parameter will hold the result from the stat_func evaluation for every reduction window. Second input parameter holds the result from the `thresh_func` evaluation. The default reduction function just selects the value that maximizes the `stat_func`"" optional=""true"" value=""&lt;function ChangepointsMixin.&lt;lambda&gt; at 0x788ecbe4cc20&gt;"" />"	Param: 'reduce_func' -> Annotation: 'Callable[[np.ndarray, np.ndarray], int]' -> final_catch_all_fallback_text
saqc.funcs.changepoints	flag	float	"<param type=""float"" argument=""flag"" label=""Any, optional The flag value the function uses to mark observations"" help=""Defaults to the ``BAD`` value of the translation scheme"" optional=""true"" value=""255.0"" />"	Param: 'flag' -> Annotation: 'float' -> is_simple_type -> type_is_float
saqc.funcs.constants	field	str	"<param type=""text"" argument=""field"" label=""Field"" help=""The name of the variable to process."" value="""" />"	Param: 'field' -> Annotation: 'str' -> is_field_or_target -> is_single_str
saqc.funcs.constants	window	str	"<param type=""text"" argument=""window"" label=""Size of the moving window"" help=""This is the number of observations used for calculating the statistic. Each window will be a fixed size. If its an offset then this will be the time period of each window. Each window will be sized, based on the number of observations included in the time-period"" value="""" />"	Param: 'window' -> Annotation: 'str' -> is_simple_type -> type_is_str
saqc.funcs.constants	thresh	float	"<param type=""float"" argument=""thresh"" label=""Maximum total variance allowed per window"" help=""Maximum total variance allowed per window"" value="""" />"	Param: 'thresh' -> Annotation: 'float' -> is_simple_type -> type_is_float
saqc.funcs.constants	maxna	int | None	"<param type=""integer"" argument=""maxna"" label=""Maximum number of NaNs allowed in window"" help=""If more NaNs are present, the window is not flagged"" optional=""true"" />"	Param: 'maxna' -> Annotation: 'int | None' -> is_union_with_none -> is_simple_type -> type_is_int
saqc.funcs.constants	maxna_group	int | None	"<param type=""integer"" argument=""maxna_group"" label=""Same as `maxna` but for consecutive NaNs"" help=""Same as `maxna` but for consecutive NaNs"" optional=""true"" />"	Param: 'maxna_group' -> Annotation: 'int | None' -> is_union_with_none -> is_simple_type -> type_is_int
saqc.funcs.constants	flag	float	"<param type=""float"" argument=""flag"" label=""Any, optional The flag value the function uses to mark observations"" help=""Defaults to the ``BAD`` value of the translation scheme"" optional=""true"" value=""255.0"" />"	Param: 'flag' -> Annotation: 'float' -> is_simple_type -> type_is_float
saqc.funcs.constants	field	str	"<param type=""text"" argument=""field"" label=""Field"" help=""The name of the variable to process."" value="""" />"	Param: 'field' -> Annotation: 'str' -> is_field_or_target -> is_single_str
saqc.funcs.constants	thresh	float	"<param type=""float"" argument=""thresh"" label=""Maximum total change allowed per window"" help=""Maximum total change allowed per window"" value="""" />"	Param: 'thresh' -> Annotation: 'float' -> is_simple_type -> type_is_float
saqc.funcs.constants	window	int | str	"<param type=""text"" argument=""window"" label=""Size of the moving window"" help=""This determines the number of observations used for calculating the absolute change per window. Each window will either contain a fixed number of periods (integer defined window), or will have a fixed temporal extension (offset defined window)"" value="""" />"	Param: 'window' -> Annotation: 'int | str' -> final_catch_all_fallback_text
saqc.funcs.constants	min_periods	int	"<param type=""integer"" argument=""min_periods"" label=""Minimum number of observations in window required to generate a flag"" help=""This can be used to exclude underpopulated *offset* defined windows from flagging. (Integer defined windows will always contain exactly *window* samples). Must be an integer greater or equal `2`, because a single value would always be considered constant. Defaults to `2`"" optional=""true"" value=""2"" />"	Param: 'min_periods' -> Annotation: 'int' -> is_simple_type -> type_is_int
saqc.funcs.constants	flag	float	"<param type=""float"" argument=""flag"" label=""Any, optional The flag value the function uses to mark observations"" help=""Defaults to the ``BAD`` value of the translation scheme"" optional=""true"" value=""255.0"" />"	Param: 'flag' -> Annotation: 'float' -> is_simple_type -> type_is_float
saqc.funcs.curvefit	field	str	"<param type=""text"" argument=""field"" label=""Field"" help=""The name of the variable to process."" value="""" />"	Param: 'field' -> Annotation: 'str' -> is_field_or_target -> is_single_str
saqc.funcs.curvefit	cutoff	float | str	"<param type=""text"" argument=""cutoff"" label=""cutoff"" help=""The cutoff-frequency, either an offset freq string, or expressed in multiples of the sampling rate"" value="""" />"	Param: 'cutoff' -> Annotation: 'float | str' -> final_catch_all_fallback_text
saqc.funcs.curvefit	nyq	float	"<param type=""float"" argument=""nyq"" label=""The niquist-frequency"" help=""expressed in multiples if the sampling rate"" optional=""true"" value=""0.5"" />"	Param: 'nyq' -> Annotation: 'float' -> is_simple_type -> type_is_float
saqc.funcs.curvefit	filter_order	int	"<param type=""integer"" argument=""filter_order"" label=""filter_order"" help="""" optional=""true"" value=""2"" />"	Param: 'filter_order' -> Annotation: 'int' -> is_simple_type -> type_is_int
saqc.funcs.curvefit	fill_method	FILL_METHODS	"<param type=""select"" argument=""fill_method"" label=""fill_method"" help=""Fill method to be applied on the data before filtering (butterfilter cant handle ''np.nan''). See documentation of pandas.Series.interpolate method for details on the methods associated with the different keywords"" optional=""true"" value=""linear"" />"	Param: 'fill_method' -> Annotation: 'FILL_METHODS' -> is_literal
saqc.funcs.curvefit	field	str	"<param type=""text"" argument=""field"" label=""Field"" help=""The name of the variable to process."" value="""" />"	Param: 'field' -> Annotation: 'str' -> is_field_or_target -> is_single_str
saqc.funcs.curvefit	window	int | str	"<param type=""text"" argument=""window"" label=""Size of the window you want to use for fitting"" help=""If an integer is passed, the size refers to the number of periods for every fitting window. If an offset string is passed, the size refers to the total temporal extension. The window will be centered around the vaule-to-be-fitted. For regularly sampled data always a odd number of periods will be used for the fit (periods-1 if periods is even)"" value="""" />"	Param: 'window' -> Annotation: 'int | str' -> final_catch_all_fallback_text
saqc.funcs.curvefit	order	int	"<param type=""integer"" argument=""order"" label=""Degree of the polynomial used for fitting"" help=""Degree of the polynomial used for fitting"" value="""" />"	Param: 'order' -> Annotation: 'int' -> is_simple_type -> type_is_int
saqc.funcs.curvefit	min_periods	int	"<param type=""integer"" argument=""min_periods"" label=""min_periods"" help=""Minimum number of observations in a window required to perform the fit, otherwise NaNs will be assigned. If ``None``, `min_periods` defaults to 1 for integer windows and to the size of the window for offset based windows. Passing 0, disables the feature and will result in over-fitting for too sparse windows"" optional=""true"" value=""0"" />"	Param: 'min_periods' -> Annotation: 'int' -> is_simple_type -> type_is_int
saqc.funcs.drift	field	str	"<param type=""text"" argument=""field"" label=""Field"" help=""The name of the variable to process."" value="""" />"	Param: 'field' -> Annotation: 'str' -> is_field_or_target -> is_single_str
saqc.funcs.drift	cluster_field	str	"<param type=""text"" argument=""cluster_field"" label=""Column in data, holding the cluster labels for the samples in field"" help=""(has to be indexed equal to field)"" value="""" />"	Param: 'cluster_field' -> Annotation: 'str' -> is_simple_type -> type_is_str
saqc.funcs.drift	spread	float	"<param type=""float"" argument=""spread"" label=""A threshold denoting the value level, up to wich clusters a agglomerated"" help=""A threshold denoting the value level, up to wich clusters a agglomerated"" value="""" />"	Param: 'spread' -> Annotation: 'float' -> is_simple_type -> type_is_float
saqc.funcs.drift	method	LinkageString	"<param type=""select"" argument=""method"" label=""The linkage method for hierarchical (agglomerative) clustering of the variables"" help=""The linkage method for hierarchical (agglomerative) clustering of the variables"" optional=""true"" value=""single"" />"	Param: 'method' -> Annotation: 'LinkageString' -> is_literal
saqc.funcs.drift	metric	Callable[[np.ndarray, np.ndarray], float]	"<param type=""text"" argument=""metric"" label=""A metric function for calculating the dissimilarity between 2 regimes"" help=""Defaults to the absolute difference in mean"" optional=""true"" value=""&lt;function DriftMixin.&lt;lambda&gt; at 0x788ec8639800&gt;"" />"	Param: 'metric' -> Annotation: 'Callable[[np.ndarray, np.ndarray], float]' -> final_catch_all_fallback_text
saqc.funcs.drift	frac	float	"<param type=""float"" argument=""frac"" label=""frac"" help=""The minimum percentage of samples, the  normal  group has to comprise to actually be the normal group. Must be in the closed interval `[0,1]`, otherwise a ValueError is raised"" optional=""true"" value=""0.5"" />"	Param: 'frac' -> Annotation: 'float' -> is_simple_type -> type_is_float
saqc.funcs.drift	field	str	"<param type=""text"" argument=""field"" label=""Field"" help=""The name of the variable to process."" value="""" />"	Param: 'field' -> Annotation: 'str' -> is_field_or_target -> is_single_str
saqc.funcs.drift	maintenance_field	str	"<param type=""text"" argument=""maintenance_field"" label=""Column holding the support-points information"" help=""The data is expected to have the following form: The index of the series represents the beginning of a maintenance event, wheras the values represent its endings"" value="""" />"	Param: 'maintenance_field' -> Annotation: 'str' -> is_simple_type -> type_is_str
saqc.funcs.drift	model	Callable[..., float] | Literal['linear', 'exponential']	"<conditional name=""model_cond"" />"	Param: 'model' -> Annotation: 'Callable[..., float] | Literal['linear', 'exponential']' -> is_union_callable_literal_model_conditional
saqc.funcs.drift	cal_range	int	"<param type=""integer"" argument=""cal_range"" label=""cal_range"" help=""Number of values to calculate the mean of, for obtaining the value level directly after and directly before a maintenance event. Needed for shift calibration"" optional=""true"" value=""5"" />"	Param: 'cal_range' -> Annotation: 'int' -> is_simple_type -> type_is_int
saqc.funcs.drift	field	str	"<param type=""text"" argument=""field"" label=""Field"" help=""The name of the variable to process."" value="""" />"	Param: 'field' -> Annotation: 'str' -> is_field_or_target -> is_single_str
saqc.funcs.drift	max_jump	float	"<param type=""float"" argument=""max_jump"" label=""max_jump"" help=""when searching for changepoints in mean - this is the threshold a mean difference in the sliding window search must exceed to trigger changepoint detection"" value="""" />"	Param: 'max_jump' -> Annotation: 'float' -> is_simple_type -> type_is_float
saqc.funcs.drift	spread	float	"<param type=""float"" argument=""spread"" label=""spread"" help=""threshold denoting the maximum, regimes are allowed to abolutely differ in their means to form the  normal group  of values"" value="""" />"	Param: 'spread' -> Annotation: 'float' -> is_simple_type -> type_is_float
saqc.funcs.drift	window	str	"<param type=""text"" argument=""window"" label=""Size of the adjacent windows that are used to search for the mean changepoints"" help=""Size of the adjacent windows that are used to search for the mean changepoints"" value="""" />"	Param: 'window' -> Annotation: 'str' -> is_simple_type -> type_is_str
saqc.funcs.drift	min_periods	int	"<param type=""integer"" argument=""min_periods"" label=""min_periods"" help=""Minimum number of periods a search window has to contain, for the result of the changepoint detection to be considered valid"" value="""" />"	Param: 'min_periods' -> Annotation: 'int' -> is_simple_type -> type_is_int
saqc.funcs.drift	tolerance	str | None	"<param type=""text"" argument=""tolerance"" label=""tolerance"" help=""If an offset string is passed, a data chunk of length `offset` right from the start and right before the end of any regime is ignored when calculating a regimes mean for data correcture. This is to account for the unrelyability of data near the changepoints of regimes"" optional=""true"" />"	Param: 'tolerance' -> Annotation: 'str | None' -> is_union_with_none -> is_simple_type -> type_is_str
saqc.funcs.drift	field	str	"<param type=""text"" argument=""field"" label=""Field"" help=""The name of the variable to process."" value="""" />"	Param: 'field' -> Annotation: 'str' -> is_field_or_target -> is_single_str
saqc.funcs.drift	cluster_field	str	"<param type=""text"" argument=""cluster_field"" label=""cluster_field"" help=""A string denoting the field in data, holding the cluster label for the data you want to correct"" value="""" />"	Param: 'cluster_field' -> Annotation: 'str' -> is_simple_type -> type_is_str
saqc.funcs.drift	model	CurveFitter	"<param type=""text"" argument=""model"" label=""The model function to be fitted to the regimes"" help=""It must be a function of the form :math:`f(x, *p)`, where :math:`x` is the ``numpy.array`` holding the independent variables and :math:`p` are the model parameters that are to be obtained by fitting. Depending on the `x_date` parameter, independent variable x will either be the timestamps of every regime transformed to seconds from epoch, or it will be just seconds, counting the regimes length (Expects a function reference: (...).)"" value="""" />"	Param: 'model' -> Annotation: 'CurveFitter' -> is_simple_type -> type_is_callable_or_special
saqc.funcs.drift	tolerance	Optional[str]	"<param type=""text"" argument=""tolerance"" label=""tolerance"" help=""If an offset string is passed, a data chunk of length `offset` right at the start and right at the end is ignored when fitting the model. This is to account for the unreliability of data near the changepoints of regimes. Defaults to None"" optional=""true"" />"	Param: 'tolerance' -> Annotation: 'Optional[str]' -> is_union_with_none -> is_simple_type -> type_is_str
saqc.funcs.drift	epoch	bool	"<param type=""boolean"" argument=""epoch"" label=""epoch"" help=""If True, use  seconds from epoch  as x input to the model func, instead of  seconds from regime start "" checked=""false"" truevalue=""epoch"" falsevalue="""" />"	Param: 'epoch' -> Annotation: 'bool' -> is_simple_type -> type_is_bool
saqc.funcs.drift	field	Sequence[str]	"<repeat name=""field_repeat"" min=""1"" title=""Field(s)"" />"	Param: 'field' -> Annotation: 'Sequence[str]' -> is_field_or_target -> is_multi_repeat
saqc.funcs.drift	window	str	"<param type=""text"" argument=""window"" label=""Frequency, that split the data in chunks"" help=""Frequency, that split the data in chunks"" value="""" />"	Param: 'window' -> Annotation: 'str' -> is_simple_type -> type_is_str
saqc.funcs.drift	spread	float	"<param type=""float"" argument=""spread"" label=""Maximum spread allowed in the group of *normal* data"" help=""See Notes section for more details"" value="""" />"	Param: 'spread' -> Annotation: 'float' -> is_simple_type -> type_is_float
saqc.funcs.drift	frac	float	"<param type=""float"" argument=""frac"" label=""Fraction defining the normal group"" help=""Use a value from the interval [0,1]. The higher the value, the more stable the algorithm will be. For values below 0.5 the results are undefined"" optional=""true"" value=""0.5"" />"	Param: 'frac' -> Annotation: 'float' -> is_simple_type -> type_is_float
saqc.funcs.drift	metric	Callable[[np.ndarray | pd.Series, np.ndarray | pd.Series], np.ndarray]	"<param type=""text"" argument=""metric"" label=""metric"" help=""default cityblock Distance function that takes two arrays as input and returns a scalar float. This value is interpreted as the distance of the two input arrays. Defaults to the `averaged manhattan metric` (see Notes)"" optional=""true"" value=""&lt;function cityblock at 0x788ec86389a0&gt;"" />"	Param: 'metric' -> Annotation: 'Callable[[np.ndarray | pd.Series, np.ndarray | pd.Series], np.ndarray]' -> final_catch_all_fallback_text
saqc.funcs.drift	method	LinkageString	"<param type=""select"" argument=""method"" label=""Linkage method used for hierarchical (agglomerative) clustering of the data"" help=""`method` is directly passed to ``scipy.hierarchy.linkage``. See its documentation [1] for more details. For a general introduction on hierarchical clustering see [2]"" optional=""true"" value=""single"" />"	Param: 'method' -> Annotation: 'LinkageString' -> is_literal
saqc.funcs.drift	flag	float	"<param type=""float"" argument=""flag"" label=""Any, optional The flag value the function uses to mark observations"" help=""Defaults to the ``BAD`` value of the translation scheme"" optional=""true"" value=""255.0"" />"	Param: 'flag' -> Annotation: 'float' -> is_simple_type -> type_is_float
saqc.funcs.drift	field	Sequence[str]	"<repeat name=""field_repeat"" min=""1"" title=""Field(s)"" />"	Param: 'field' -> Annotation: 'Sequence[str]' -> is_field_or_target -> is_multi_repeat
saqc.funcs.drift	reference	str	"<param type=""text"" argument=""reference"" label=""Reference variable, the deviation is calculated from"" help=""Reference variable, the deviation is calculated from"" value="""" />"	Param: 'reference' -> Annotation: 'str' -> is_simple_type -> type_is_str
saqc.funcs.drift	freq	str	"<param type=""text"" argument=""freq"" label=""Frequency, that split the data in chunks"" help=""Frequency, that split the data in chunks"" value="""" />"	Param: 'freq' -> Annotation: 'str' -> is_simple_type -> type_is_str
saqc.funcs.drift	thresh	float	"<param type=""float"" argument=""thresh"" label=""Maximum deviation from reference"" help=""Maximum deviation from reference"" value="""" />"	Param: 'thresh' -> Annotation: 'float' -> is_simple_type -> type_is_float
saqc.funcs.drift	metric	Callable[[np.ndarray | pd.Series, np.ndarray | pd.Series], np.ndarray]	"<param type=""text"" argument=""metric"" label=""metric"" help=""default cityblock Distance function. Takes two arrays as input and returns a scalar float. This value is interpreted as the mutual distance of the two input arrays. Defaults to the `averaged manhattan metric` (see Notes)"" optional=""true"" value=""&lt;function cityblock at 0x788ec86389a0&gt;"" />"	Param: 'metric' -> Annotation: 'Callable[[np.ndarray | pd.Series, np.ndarray | pd.Series], np.ndarray]' -> final_catch_all_fallback_text
saqc.funcs.drift	flag	float	"<param type=""float"" argument=""flag"" label=""Any, optional The flag value the function uses to mark observations"" help=""Defaults to the ``BAD`` value of the translation scheme"" optional=""true"" value=""255.0"" />"	Param: 'flag' -> Annotation: 'float' -> is_simple_type -> type_is_float
saqc.funcs.drift	field	str	"<param type=""text"" argument=""field"" label=""Field"" help=""The name of the variable to process."" value="""" />"	Param: 'field' -> Annotation: 'str' -> is_field_or_target -> is_single_str
saqc.funcs.drift	cluster_field	str	"<param type=""text"" argument=""cluster_field"" label=""Column in data, holding the cluster labels for the samples in field"" help=""(has to be indexed equal to field)"" value="""" />"	Param: 'cluster_field' -> Annotation: 'str' -> is_simple_type -> type_is_str
saqc.funcs.drift	spread	float	"<param type=""float"" argument=""spread"" label=""A threshold denoting the value level, up to wich clusters a agglomerated"" help=""A threshold denoting the value level, up to wich clusters a agglomerated"" value="""" />"	Param: 'spread' -> Annotation: 'float' -> is_simple_type -> type_is_float
saqc.funcs.drift	method	LinkageString	"<param type=""select"" argument=""method"" label=""The linkage method for hierarchical (agglomerative) clustering of the variables"" help=""The linkage method for hierarchical (agglomerative) clustering of the variables"" optional=""true"" value=""single"" />"	Param: 'method' -> Annotation: 'LinkageString' -> is_literal
saqc.funcs.drift	metric	Callable[[np.ndarray | pd.Series, np.ndarray | pd.Series], float]	"<param type=""text"" argument=""metric"" label=""A metric function for calculating the dissimilarity between 2 regimes"" help=""Defaults to the absolute difference in mean"" optional=""true"" value=""&lt;function DriftMixin.&lt;lambda&gt; at 0x788ec86396c0&gt;"" />"	Param: 'metric' -> Annotation: 'Callable[[np.ndarray | pd.Series, np.ndarray | pd.Series], float]' -> final_catch_all_fallback_text
saqc.funcs.drift	frac	float	"<param type=""float"" argument=""frac"" label=""frac"" help=""The minimum percentage of samples, the  normal  group has to comprise to actually be the normal group. Must be in the closed interval `[0,1]`, otherwise a ValueError is raised"" optional=""true"" value=""0.5"" />"	Param: 'frac' -> Annotation: 'float' -> is_simple_type -> type_is_float
saqc.funcs.drift	flag	float	"<param type=""float"" argument=""flag"" label=""Any, optional The flag value the function uses to mark observations"" help=""Defaults to the ``BAD`` value of the translation scheme"" optional=""true"" value=""255.0"" />"	Param: 'flag' -> Annotation: 'float' -> is_simple_type -> type_is_float
saqc.funcs.flagtools	field	str | list[str | list[str]]	"<param type=""text"" argument=""field"" label=""Field"" help=""The name of the variable to process."" value="""" />"	Param: 'field' -> Annotation: 'str | list[str | list[str]]' -> is_field_or_target -> fallback_as_text
saqc.funcs.flagtools	group	Sequence['SaQC'] | None	"<param type=""text"" argument=""group"" label=""A collection of ``SaQC`` objects"" help=""Flag checks are performed on all ``SaQC`` objects based on the variables specified in ``field``. Whenever all monitored variables are flagged, the associated timestamps will receive a flag"" optional=""true"" />"	Param: 'group' -> Annotation: 'Sequence['SaQC'] | None' -> is_union_with_none -> final_catch_all_fallback_text
saqc.funcs.flagtools	target	str | list[str | list[str]] | None	"<param type=""text"" argument=""target"" label=""Target"" help=""The name of the variable to process."" optional=""true"" />"	Param: 'target' -> Annotation: 'str | list[str | list[str]] | None' -> is_union_with_none -> is_field_or_target -> fallback_as_text
